,match_id,duration,radiant_win,radiant_denies,radiant_runes,radiant_cosmetics,radiant_camps_stacked,radiant_last_hits,radiant_consumables,radiant_ability_used,radiant_obs,radiant_portal_used,radiant_fruit_plucked,radiant_lamp_used,radiant_sent,dire_denies,dire_runes,dire_cosmetics,dire_camps_stacked,dire_last_hits,dire_consumables,dire_ability_used,dire_obs,dire_sent,dire_portal_used,dire_fruit_plucked,dire_lamp_used,avg_gold_adv_early,avg_xp_adv_early,radiant_kill_courier,dire_kill_courier,radiant_kill_rs,dire_kill_rs,radiant_aegis,dire_aegis,radiant_chat,dire_chat
5605,7149158642,1837,False,35,24,19,13,840,20,617,13,1,9,13,10,48,20,15,14,932,28,702,15,23,1,2,17,-400.0,-433.6,0,1,0,0,0,0,17,17
5606,7230423288,1650,True,61,22,28,2,714,49,581,14,15,7,15,24,27,22,14,22,613,37,471,14,23,0,4,9,495.6,834.4,0,0,1,0,1,0,15,53
5607,7141687549,2363,True,30,23,7,12,1012,46,819,18,1,2,19,30,25,33,12,10,996,48,728,18,29,10,14,25,-1727.9,-1048.5,1,0,1,1,1,1,57,18
5608,7079723265,1860,True,32,17,16,5,774,22,608,15,0,0,0,22,27,20,18,4,794,25,492,14,21,0,0,0,-859.0,-1022.1,1,1,1,0,1,0,21,17
5609,7211843843,1977,False,11,23,0,3,646,14,666,13,0,4,10,14,54,24,0,24,885,34,400,16,20,0,3,15,-2509.3,-1636.4,1,1,0,0,0,0,4,4
5610,7162593542,2783,False,36,15,18,17,1309,26,1356,21,5,5,19,37,35,49,20,10,1466,36,1220,21,35,38,5,29,-2118.3,-742.5,1,0,0,3,0,3,6,5
5611,7238385928,1979,False,20,17,0,1,529,15,512,14,0,0,9,17,14,28,4,5,918,23,667,14,18,1,3,8,-735.1,-622.8,0,1,0,1,0,1,4,1
5612,7079231755,2943,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
5613,7093321999,2338,True,63,28,9,3,943,48,798,19,0,0,0,26,25,17,15,2,780,40,666,18,33,0,0,0,858.6,665.5,2,3,3,0,3,0,41,67
5614,7186710803,1562,False,13,17,0,3,543,22,534,12,1,5,3,7,22,18,0,6,566,31,440,12,12,0,3,7,661.2,474.9,1,0,0,0,0,0,7,6
5615,7230914837,2494,True,48,21,16,7,1294,48,1142,20,9,10,23,31,43,38,14,19,1161,26,704,19,30,3,4,18,1894.5,1834.6,2,2,1,1,1,1,11,44
5616,7138312469,1687,False,53,22,12,1,730,30,450,13,2,3,13,11,31,18,8,10,785,22,2014,13,13,4,6,6,-829.9,38.3,2,1,0,0,0,0,11,23
5617,7115964693,1923,False,27,12,20,5,645,25,447,16,0,0,0,35,69,28,10,4,723,37,412,15,29,0,0,0,-1612.4,-1131.1,1,2,0,2,0,1,12,14
5618,7222067488,1709,True,38,24,5,7,745,26,529,14,5,8,8,21,18,13,16,4,590,34,892,13,20,0,5,12,2192.7,1333.3,0,0,1,0,1,0,135,64
5619,7177404707,1739,True,35,30,23,3,781,16,915,15,5,4,10,24,31,10,14,8,482,42,456,14,21,0,4,11,1918.2,1951.5,2,0,1,0,1,0,8,44
5620,7163150628,2449,True,21,29,14,8,906,50,1572,19,10,4,17,27,58,29,0,2,965,55,786,19,33,3,5,15,505.9,-514.0,2,3,3,0,3,0,18,68
5621,7144440101,1540,False,14,13,9,13,452,30,460,11,3,4,7,11,67,20,3,8,604,23,1511,11,17,0,7,7,-941.1,-995.3,1,0,0,0,0,0,57,4
5622,7037551056,2078,True,49,35,15,12,1043,33,822,17,0,0,0,25,33,7,11,0,900,27,817,18,29,0,0,0,1756.3,980.6,1,1,2,0,2,0,19,39
5623,7200834004,1390,False,28,13,0,0,361,16,550,9,0,4,6,7,27,18,0,2,384,17,456,12,11,0,5,3,-1347.8,-262.1,0,1,0,0,0,0,2,9
5624,7100563925,2837,False,33,26,15,6,1137,41,982,21,0,0,0,41,22,32,17,7,1138,52,1115,22,41,0,0,0,1576.4,234.3,3,2,1,1,1,1,37,10
5625,7089619414,1575,False,27,12,17,3,487,34,3025,13,0,0,0,23,27,21,18,8,790,38,576,13,25,0,0,0,-2383.6,-1267.0,1,0,0,0,0,0,76,50
5626,7089390046,3009,False,28,24,8,11,1432,30,1793,23,0,0,0,45,40,33,18,3,1625,53,1029,23,44,0,0,0,-1533.2,-602.0,0,2,1,2,1,2,72,10
5627,7123075551,1556,False,27,17,0,3,439,30,323,13,5,10,11,12,26,19,0,3,686,26,653,10,13,0,3,8,-302.9,-59.1,0,2,0,0,0,0,3,5
5628,7230489058,2629,False,40,13,18,11,1062,37,718,19,3,8,22,30,67,50,26,21,1693,62,858,19,30,4,7,21,24.0,274.2,0,3,1,2,1,2,15,13
5629,7196836322,2999,False,53,40,2,11,1745,10,706,22,0,4,18,20,20,32,0,4,1300,17,1398,21,17,1,11,9,1518.7,920.4,0,2,0,1,0,1,2,5
5630,7112524258,2453,False,24,26,15,4,1200,30,637,18,0,0,0,32,44,21,13,14,1222,41,1193,17,33,0,0,0,342.3,-789.6,3,1,0,2,0,2,56,33
5631,7048298982,2544,True,43,30,12,4,1011,38,672,21,0,0,0,40,26,22,16,4,1238,44,1110,21,33,0,0,0,-153.0,1.1,2,6,2,0,2,0,33,89
5632,7203914215,3364,True,38,52,12,10,1708,41,1680,26,12,9,8,35,26,29,20,4,2203,41,1116,27,45,5,7,23,693.7,131.1,7,3,4,0,4,0,19,50
